ptr_nvnDeviceBuilderSetDefaults 0x7101c31430
ptr_nvnCommandBufferTiledDownsample 0x7101c32290
ptr_nvnCommandBufferDownsampleTextureView 0x7101c32298
ptr_nvnCommandBufferTiledDownsampleTextureView 0x7101c322a0
ptr_nvnCommandBufferBarrier 0x7101c322a8
ptr_nvnCommandBufferWaitSync 0x7101c322b0
ptr_nvnCommandBufferFenceSync 0x7101c322b8
ptr_nvnCommandBufferSetTexturePool 0x7101c322c0
ptr_nvnCommandBufferSetSamplerPool 0x7101c322c8
ptr_nvnCommandBufferSetShaderScratchMemory 0x7101c322d0
ptr_nvnCommandBufferSaveZCullData 0x7101c322d8
ptr_nvnCommandBufferRestoreZCullData 0x7101c322e0
ptr_nvnCommandBufferSetCopyRowStride 0x7101c322e8
ptr_nvnCommandBufferSetCopyImageStride 0x7101c322f0
ptr_nvnCommandBufferGetCopyRowStride 0x7101c322f8
ptr_nvnCommandBufferGetCopyImageStride 0x7101c32300
ptr_nvnCommandBufferDrawTexture 0x7101c32308
ptr_nvnProgramSetSubroutineLinkage 0x7101c32310
ptr_nvnCommandBufferSetProgramSubroutines 0x7101c32318
ptr_nvnCommandBufferBindCoverageModulationTable 0x7101c32320
ptr_nvnCommandBufferResolveDepthBuffer 0x7101c32328
ptr_nvnCommandBufferSetColorReductionEnable 0x7101c32330
ptr_nvnCommandBufferSetColorReductionThresholds 0x7101c32338
ptr_nvnCommandBufferPushDebugGroupStatic 0x7101c32340
ptr_nvnCommandBufferPushDebugGroupDynamic 0x7101c32348
ptr_nvnCommandBufferPushDebugGroup 0x7101c32350
ptr_nvnCommandBufferPopDebugGroup 0x7101c32358
ptr_nvnCommandBufferPopDebugGroupId 0x7101c32360
ptr_nvnCommandBufferInsertDebugMarkerStatic 0x7101c32368
ptr_nvnCommandBufferInsertDebugMarkerDynamic 0x7101c32370
ptr_nvnCommandBufferInsertDebugMarker 0x7101c32378
ptr_nvnCommandBufferGetMemoryCallback 0x7101c32380
ptr_nvnCommandBufferGetMemoryCallbackData 0x7101c32388
ptr_nvnCommandBufferIsRecording 0x7101c32390
ptr_nvnSyncInitialize 0x7101c32398
ptr_nvnSyncFinalize 0x7101c323a0
ptr_nvnSyncSetDebugLabel 0x7101c323a8
ptr_nvnQueueFenceSync 0x7101c323b0
ptr_nvnSyncWait 0x7101c323b8
ptr_nvnQueueWaitSync 0x7101c323c0
ptr_nvnSyncInitializeFromFencedGLSync 0x7101c323c8
ptr_nvnSyncCreateGLSync 0x7101c323d0
ptr_nvnEventBuilderSetDefaults 0x7101c323d8
ptr_nvnEventBuilderSetStorage 0x7101c323e0
ptr_nvnEventBuilderGetStorage 0x7101c323e8
ptr_nvnEventInitialize 0x7101c323f0
ptr_nvnEventFinalize 0x7101c323f8
ptr_nvnEventGetValue 0x7101c32400
ptr_nvnEventSignal 0x7101c32408
ptr_nvnCommandBufferWaitEvent 0x7101c32410
ptr_nvnCommandBufferSignalEvent 0x7101c32418
ptr_nvnCommandBufferSetStencilCullCriteria 0x7101c32420
