ptr_nvnDeviceBuilderSetDefaults 0x7103bf10d8
ptr_nvnCommandBufferCopyBufferToBuffer 0x7103bf1ec8
ptr_nvnCommandBufferClearBuffer 0x7103bf1ed0
ptr_nvnCommandBufferClearTexture 0x7103bf1ed8
ptr_nvnCommandBufferClearTexturei 0x7103bf1ee0
ptr_nvnCommandBufferClearTextureui 0x7103bf1ee8
ptr_nvnCommandBufferUpdateUniformBuffer 0x7103bf1ef0
ptr_nvnCommandBufferReportCounter 0x7103bf1ef8
ptr_nvnCommandBufferResetCounter 0x7103bf1f00
ptr_nvnCommandBufferReportValue 0x7103bf1f08
ptr_nvnCommandBufferSetRenderEnable 0x7103bf1f10
ptr_nvnCommandBufferSetRenderEnableConditional 0x7103bf1f18
ptr_nvnCommandBufferSetRenderTargets 0x7103bf1f20
ptr_nvnCommandBufferDiscardColor 0x7103bf1f28
ptr_nvnCommandBufferDiscardDepthStencil 0x7103bf1f30
ptr_nvnCommandBufferDownsample 0x7103bf1f38
ptr_nvnCommandBufferTiledDownsample 0x7103bf1f40
ptr_nvnCommandBufferDownsampleTextureView 0x7103bf1f48
ptr_nvnCommandBufferTiledDownsampleTextureView 0x7103bf1f50
ptr_nvnCommandBufferBarrier 0x7103bf1f58
ptr_nvnCommandBufferWaitSync 0x7103bf1f60
ptr_nvnCommandBufferFenceSync 0x7103bf1f68
ptr_nvnCommandBufferSetTexturePool 0x7103bf1f70
ptr_nvnCommandBufferSetSamplerPool 0x7103bf1f78
ptr_nvnCommandBufferSetShaderScratchMemory 0x7103bf1f80
ptr_nvnCommandBufferSaveZCullData 0x7103bf1f88
ptr_nvnCommandBufferRestoreZCullData 0x7103bf1f90
ptr_nvnCommandBufferSetCopyRowStride 0x7103bf1f98
ptr_nvnCommandBufferSetCopyImageStride 0x7103bf1fa0
ptr_nvnCommandBufferGetCopyRowStride 0x7103bf1fa8
ptr_nvnCommandBufferGetCopyImageStride 0x7103bf1fb0
ptr_nvnCommandBufferDrawTexture 0x7103bf1fb8
ptr_nvnProgramSetSubroutineLinkage 0x7103bf1fc0
ptr_nvnCommandBufferSetProgramSubroutines 0x7103bf1fc8
ptr_nvnCommandBufferBindCoverageModulationTable 0x7103bf1fd0
ptr_nvnCommandBufferResolveDepthBuffer 0x7103bf1fd8
ptr_nvnCommandBufferSetColorReductionEnable 0x7103bf1fe0
ptr_nvnCommandBufferSetColorReductionThresholds 0x7103bf1fe8
ptr_nvnCommandBufferPushDebugGroupStatic 0x7103bf1ff0
ptr_nvnCommandBufferPushDebugGroupDynamic 0x7103bf1ff8
ptr_nvnCommandBufferPushDebugGroup 0x7103bf2000
ptr_nvnCommandBufferPopDebugGroup 0x7103bf2008
ptr_nvnCommandBufferPopDebugGroupId 0x7103bf2010
ptr_nvnCommandBufferInsertDebugMarkerStatic 0x7103bf2018
ptr_nvnCommandBufferInsertDebugMarkerDynamic 0x7103bf2020
ptr_nvnCommandBufferInsertDebugMarker 0x7103bf2028
ptr_nvnCommandBufferGetMemoryCallback 0x7103bf2030
ptr_nvnCommandBufferGetMemoryCallbackData 0x7103bf2038
ptr_nvnCommandBufferIsRecording 0x7103bf2040
ptr_nvnSyncInitialize 0x7103bf2048
ptr_nvnSyncFinalize 0x7103bf2050
ptr_nvnSyncSetDebugLabel 0x7103bf2058
ptr_nvnQueueFenceSync 0x7103bf2060
ptr_nvnSyncWait 0x7103bf2068
ptr_nvnQueueWaitSync 0x7103bf2070
ptr_nvnSyncInitializeFromFencedGLSync 0x7103bf2078
ptr_nvnSyncCreateGLSync 0x7103bf2080
ptr_nvnEventBuilderSetDefaults 0x7103bf2088
ptr_nvnEventBuilderSetStorage 0x7103bf2090
ptr_nvnEventBuilderGetStorage 0x7103bf2098
ptr_nvnEventBuilderGetMemoryPool 0x7103bf20a0
ptr_nvnEventBuilderGetMemoryOffset 0x7103bf20a8
ptr_nvnEventInitialize 0x7103bf20b0
ptr_nvnEventFinalize 0x7103bf20b8
ptr_nvnEventGetValue 0x7103bf20c0
ptr_nvnEventSignal 0x7103bf20c8
ptr_nvnEventGetMemoryPool 0x7103bf20d0
ptr_nvnEventGetMemoryOffset 0x7103bf20d8
ptr_nvnCommandBufferWaitEvent 0x7103bf20e0
ptr_nvnCommandBufferSignalEvent 0x7103bf20e8
ptr_nvnCommandBufferSetStencilCullCriteria 0x7103bf20f0
