ptr_nvnDeviceBuilderSetDefaults 0x7104c7ed38
ptr_nvnCommandBufferCopyTextureToTexture 0x7104c7fb20
ptr_nvnCommandBufferCopyBufferToBuffer 0x7104c7fb28
ptr_nvnCommandBufferClearBuffer 0x7104c7fb30
ptr_nvnCommandBufferClearTexture 0x7104c7fb38
ptr_nvnCommandBufferClearTexturei 0x7104c7fb40
ptr_nvnCommandBufferClearTextureui 0x7104c7fb48
ptr_nvnCommandBufferUpdateUniformBuffer 0x7104c7fb50
ptr_nvnCommandBufferReportCounter 0x7104c7fb58
ptr_nvnCommandBufferResetCounter 0x7104c7fb60
ptr_nvnCommandBufferReportValue 0x7104c7fb68
ptr_nvnCommandBufferSetRenderEnable 0x7104c7fb70
ptr_nvnCommandBufferSetRenderEnableConditional 0x7104c7fb78
ptr_nvnCommandBufferSetRenderTargets 0x7104c7fb80
ptr_nvnCommandBufferDiscardColor 0x7104c7fb88
ptr_nvnCommandBufferDiscardDepthStencil 0x7104c7fb90
ptr_nvnCommandBufferDownsample 0x7104c7fb98
ptr_nvnCommandBufferTiledDownsample 0x7104c7fba0
ptr_nvnCommandBufferDownsampleTextureView 0x7104c7fba8
ptr_nvnCommandBufferTiledDownsampleTextureView 0x7104c7fbb0
ptr_nvnCommandBufferBarrier 0x7104c7fbb8
ptr_nvnCommandBufferWaitSync 0x7104c7fbc0
ptr_nvnCommandBufferFenceSync 0x7104c7fbc8
ptr_nvnCommandBufferSetTexturePool 0x7104c7fbd0
ptr_nvnCommandBufferSetSamplerPool 0x7104c7fbd8
ptr_nvnCommandBufferSetShaderScratchMemory 0x7104c7fbe0
ptr_nvnCommandBufferSaveZCullData 0x7104c7fbe8
ptr_nvnCommandBufferRestoreZCullData 0x7104c7fbf0
ptr_nvnCommandBufferSetCopyRowStride 0x7104c7fbf8
ptr_nvnCommandBufferSetCopyImageStride 0x7104c7fc00
ptr_nvnCommandBufferGetCopyRowStride 0x7104c7fc08
ptr_nvnCommandBufferGetCopyImageStride 0x7104c7fc10
ptr_nvnCommandBufferDrawTexture 0x7104c7fc18
ptr_nvnProgramSetSubroutineLinkage 0x7104c7fc20
ptr_nvnCommandBufferSetProgramSubroutines 0x7104c7fc28
ptr_nvnCommandBufferBindCoverageModulationTable 0x7104c7fc30
ptr_nvnCommandBufferResolveDepthBuffer 0x7104c7fc38
ptr_nvnCommandBufferSetColorReductionEnable 0x7104c7fc40
ptr_nvnCommandBufferSetColorReductionThresholds 0x7104c7fc48
ptr_nvnCommandBufferPushDebugGroupStatic 0x7104c7fc50
ptr_nvnCommandBufferPushDebugGroupDynamic 0x7104c7fc58
ptr_nvnCommandBufferPushDebugGroup 0x7104c7fc60
ptr_nvnCommandBufferPopDebugGroup 0x7104c7fc68
ptr_nvnCommandBufferPopDebugGroupId 0x7104c7fc70
ptr_nvnCommandBufferInsertDebugMarkerStatic 0x7104c7fc78
ptr_nvnCommandBufferInsertDebugMarkerDynamic 0x7104c7fc80
ptr_nvnCommandBufferInsertDebugMarker 0x7104c7fc88
ptr_nvnCommandBufferGetMemoryCallback 0x7104c7fc90
ptr_nvnCommandBufferGetMemoryCallbackData 0x7104c7fc98
ptr_nvnCommandBufferIsRecording 0x7104c7fca0
ptr_nvnSyncInitialize 0x7104c7fca8
ptr_nvnSyncFinalize 0x7104c7fcb0
ptr_nvnSyncSetDebugLabel 0x7104c7fcb8
ptr_nvnQueueFenceSync 0x7104c7fcc0
ptr_nvnSyncWait 0x7104c7fcc8
ptr_nvnQueueWaitSync 0x7104c7fcd0
ptr_nvnSyncInitializeFromFencedGLSync 0x7104c7fcd8
ptr_nvnSyncCreateGLSync 0x7104c7fce0
ptr_nvnEventBuilderSetDefaults 0x7104c7fce8
ptr_nvnEventBuilderSetStorage 0x7104c7fcf0
ptr_nvnEventBuilderGetStorage 0x7104c7fcf8
ptr_nvnEventInitialize 0x7104c7fd00
ptr_nvnEventFinalize 0x7104c7fd08
ptr_nvnEventGetValue 0x7104c7fd10
ptr_nvnEventSignal 0x7104c7fd18
ptr_nvnCommandBufferWaitEvent 0x7104c7fd20
ptr_nvnCommandBufferSignalEvent 0x7104c7fd28
ptr_nvnCommandBufferSetStencilCullCriteria 0x7104c7fd30
