ptr_nvnDeviceBuilderSetDefaults 0x7104de1c40
ptr_nvnCommandBufferDownsampleTextureView 0x7104de2ab0
ptr_nvnCommandBufferTiledDownsampleTextureView 0x7104de2ab8
ptr_nvnCommandBufferBarrier 0x7104de2ac0
ptr_nvnCommandBufferWaitSync 0x7104de2ac8
ptr_nvnCommandBufferFenceSync 0x7104de2ad0
ptr_nvnCommandBufferSetTexturePool 0x7104de2ad8
ptr_nvnCommandBufferSetSamplerPool 0x7104de2ae0
ptr_nvnCommandBufferSetShaderScratchMemory 0x7104de2ae8
ptr_nvnCommandBufferSaveZCullData 0x7104de2af0
ptr_nvnCommandBufferRestoreZCullData 0x7104de2af8
ptr_nvnCommandBufferSetCopyRowStride 0x7104de2b00
ptr_nvnCommandBufferSetCopyImageStride 0x7104de2b08
ptr_nvnCommandBufferGetCopyRowStride 0x7104de2b10
ptr_nvnCommandBufferGetCopyImageStride 0x7104de2b18
ptr_nvnCommandBufferDrawTexture 0x7104de2b20
ptr_nvnProgramSetSubroutineLinkage 0x7104de2b28
ptr_nvnCommandBufferSetProgramSubroutines 0x7104de2b30
ptr_nvnCommandBufferBindCoverageModulationTable 0x7104de2b38
ptr_nvnCommandBufferResolveDepthBuffer 0x7104de2b40
ptr_nvnCommandBufferSetColorReductionEnable 0x7104de2b48
ptr_nvnCommandBufferSetColorReductionThresholds 0x7104de2b50
ptr_nvnCommandBufferPushDebugGroupStatic 0x7104de2b58
ptr_nvnCommandBufferPushDebugGroupDynamic 0x7104de2b60
ptr_nvnCommandBufferPushDebugGroup 0x7104de2b68
ptr_nvnCommandBufferPopDebugGroup 0x7104de2b70
ptr_nvnCommandBufferPopDebugGroupId 0x7104de2b78
ptr_nvnCommandBufferInsertDebugMarkerStatic 0x7104de2b80
ptr_nvnCommandBufferInsertDebugMarkerDynamic 0x7104de2b88
ptr_nvnCommandBufferInsertDebugMarker 0x7104de2b90
ptr_nvnCommandBufferGetMemoryCallback 0x7104de2b98
ptr_nvnCommandBufferGetMemoryCallbackData 0x7104de2ba0
ptr_nvnCommandBufferIsRecording 0x7104de2ba8
ptr_nvnSyncInitialize 0x7104de2bb0
ptr_nvnSyncFinalize 0x7104de2bb8
ptr_nvnSyncSetDebugLabel 0x7104de2bc0
ptr_nvnQueueFenceSync 0x7104de2bc8
ptr_nvnSyncWait 0x7104de2bd0
ptr_nvnQueueWaitSync 0x7104de2bd8
ptr_nvnSyncInitializeFromFencedGLSync 0x7104de2be0
ptr_nvnSyncCreateGLSync 0x7104de2be8
ptr_nvnEventBuilderSetDefaults 0x7104de2bf0
ptr_nvnEventBuilderSetStorage 0x7104de2bf8
ptr_nvnEventBuilderGetStorage 0x7104de2c00
ptr_nvnEventBuilderGetMemoryPool 0x7104de2c08
ptr_nvnEventBuilderGetMemoryOffset 0x7104de2c10
ptr_nvnEventInitialize 0x7104de2c18
ptr_nvnEventFinalize 0x7104de2c20
ptr_nvnEventGetValue 0x7104de2c28
ptr_nvnEventSignal 0x7104de2c30
ptr_nvnEventGetMemoryPool 0x7104de2c38
ptr_nvnEventGetMemoryOffset 0x7104de2c40
ptr_nvnCommandBufferWaitEvent 0x7104de2c48
ptr_nvnCommandBufferSignalEvent 0x7104de2c50
ptr_nvnCommandBufferSetStencilCullCriteria 0x7104de2c58
