ptr_nvnDeviceBuilderSetDefaults 0x7101de8130
ptr_nvnCommandBufferTiledDownsample 0x7101de8f98
ptr_nvnCommandBufferDownsampleTextureView 0x7101de8fa0
ptr_nvnCommandBufferTiledDownsampleTextureView 0x7101de8fa8
ptr_nvnCommandBufferBarrier 0x7101de8fb0
ptr_nvnCommandBufferWaitSync 0x7101de8fb8
ptr_nvnCommandBufferFenceSync 0x7101de8fc0
ptr_nvnCommandBufferSetTexturePool 0x7101de8fc8
ptr_nvnCommandBufferSetSamplerPool 0x7101de8fd0
ptr_nvnCommandBufferSetShaderScratchMemory 0x7101de8fd8
ptr_nvnCommandBufferSaveZCullData 0x7101de8fe0
ptr_nvnCommandBufferRestoreZCullData 0x7101de8fe8
ptr_nvnCommandBufferSetCopyRowStride 0x7101de8ff0
ptr_nvnCommandBufferSetCopyImageStride 0x7101de8ff8
ptr_nvnCommandBufferGetCopyRowStride 0x7101de9000
ptr_nvnCommandBufferGetCopyImageStride 0x7101de9008
ptr_nvnCommandBufferDrawTexture 0x7101de9010
ptr_nvnProgramSetSubroutineLinkage 0x7101de9018
ptr_nvnCommandBufferSetProgramSubroutines 0x7101de9020
ptr_nvnCommandBufferBindCoverageModulationTable 0x7101de9028
ptr_nvnCommandBufferResolveDepthBuffer 0x7101de9030
ptr_nvnCommandBufferSetColorReductionEnable 0x7101de9038
ptr_nvnCommandBufferSetColorReductionThresholds 0x7101de9040
ptr_nvnCommandBufferPushDebugGroupStatic 0x7101de9048
ptr_nvnCommandBufferPushDebugGroupDynamic 0x7101de9050
ptr_nvnCommandBufferPushDebugGroup 0x7101de9058
ptr_nvnCommandBufferPopDebugGroup 0x7101de9060
ptr_nvnCommandBufferPopDebugGroupId 0x7101de9068
ptr_nvnCommandBufferInsertDebugMarkerStatic 0x7101de9070
ptr_nvnCommandBufferInsertDebugMarkerDynamic 0x7101de9078
ptr_nvnCommandBufferInsertDebugMarker 0x7101de9080
ptr_nvnCommandBufferGetMemoryCallback 0x7101de9088
ptr_nvnCommandBufferGetMemoryCallbackData 0x7101de9090
ptr_nvnCommandBufferIsRecording 0x7101de9098
ptr_nvnSyncInitialize 0x7101de90a0
ptr_nvnSyncFinalize 0x7101de90a8
ptr_nvnSyncSetDebugLabel 0x7101de90b0
ptr_nvnQueueFenceSync 0x7101de90b8
ptr_nvnSyncWait 0x7101de90c0
ptr_nvnQueueWaitSync 0x7101de90c8
ptr_nvnSyncInitializeFromFencedGLSync 0x7101de90d0
ptr_nvnSyncCreateGLSync 0x7101de90d8
ptr_nvnEventBuilderSetDefaults 0x7101de90e0
ptr_nvnEventBuilderSetStorage 0x7101de90e8
ptr_nvnEventBuilderGetStorage 0x7101de90f0
ptr_nvnEventBuilderGetMemoryPool 0x7101de90f8
ptr_nvnEventBuilderGetMemoryOffset 0x7101de9100
ptr_nvnEventInitialize 0x7101de9108
ptr_nvnEventFinalize 0x7101de9110
ptr_nvnEventGetValue 0x7101de9118
ptr_nvnEventSignal 0x7101de9120
ptr_nvnEventGetMemoryPool 0x7101de9128
ptr_nvnEventGetMemoryOffset 0x7101de9130
ptr_nvnCommandBufferWaitEvent 0x7101de9138
ptr_nvnCommandBufferSignalEvent 0x7101de9140
ptr_nvnCommandBufferSetStencilCullCriteria 0x7101de9148
