ptr_nvnDeviceBuilderSetDefaults 0x7102d2ee50
ptr_nvnCommandBufferCopyTextureToBuffer 0x7102d2fc30
ptr_nvnCommandBufferCopyTextureToTexture 0x7102d2fc38
ptr_nvnCommandBufferCopyBufferToBuffer 0x7102d2fc40
ptr_nvnCommandBufferClearBuffer 0x7102d2fc48
ptr_nvnCommandBufferClearTexture 0x7102d2fc50
ptr_nvnCommandBufferClearTexturei 0x7102d2fc58
ptr_nvnCommandBufferClearTextureui 0x7102d2fc60
ptr_nvnCommandBufferUpdateUniformBuffer 0x7102d2fc68
ptr_nvnCommandBufferReportCounter 0x7102d2fc70
ptr_nvnCommandBufferResetCounter 0x7102d2fc78
ptr_nvnCommandBufferReportValue 0x7102d2fc80
ptr_nvnCommandBufferSetRenderEnable 0x7102d2fc88
ptr_nvnCommandBufferSetRenderEnableConditional 0x7102d2fc90
ptr_nvnCommandBufferSetRenderTargets 0x7102d2fc98
ptr_nvnCommandBufferDiscardColor 0x7102d2fca0
ptr_nvnCommandBufferDiscardDepthStencil 0x7102d2fca8
ptr_nvnCommandBufferDownsample 0x7102d2fcb0
ptr_nvnCommandBufferTiledDownsample 0x7102d2fcb8
ptr_nvnCommandBufferDownsampleTextureView 0x7102d2fcc0
ptr_nvnCommandBufferTiledDownsampleTextureView 0x7102d2fcc8
ptr_nvnCommandBufferBarrier 0x7102d2fcd0
ptr_nvnCommandBufferWaitSync 0x7102d2fcd8
ptr_nvnCommandBufferFenceSync 0x7102d2fce0
ptr_nvnCommandBufferSetTexturePool 0x7102d2fce8
ptr_nvnCommandBufferSetSamplerPool 0x7102d2fcf0
ptr_nvnCommandBufferSetShaderScratchMemory 0x7102d2fcf8
ptr_nvnCommandBufferSaveZCullData 0x7102d2fd00
ptr_nvnCommandBufferRestoreZCullData 0x7102d2fd08
ptr_nvnCommandBufferSetCopyRowStride 0x7102d2fd10
ptr_nvnCommandBufferSetCopyImageStride 0x7102d2fd18
ptr_nvnCommandBufferGetCopyRowStride 0x7102d2fd20
ptr_nvnCommandBufferGetCopyImageStride 0x7102d2fd28
ptr_nvnCommandBufferDrawTexture 0x7102d2fd30
ptr_nvnProgramSetSubroutineLinkage 0x7102d2fd38
ptr_nvnCommandBufferSetProgramSubroutines 0x7102d2fd40
ptr_nvnCommandBufferBindCoverageModulationTable 0x7102d2fd48
ptr_nvnCommandBufferResolveDepthBuffer 0x7102d2fd50
ptr_nvnCommandBufferSetColorReductionEnable 0x7102d2fd58
ptr_nvnCommandBufferSetColorReductionThresholds 0x7102d2fd60
ptr_nvnCommandBufferPushDebugGroupStatic 0x7102d2fd68
ptr_nvnCommandBufferPushDebugGroupDynamic 0x7102d2fd70
ptr_nvnCommandBufferPushDebugGroup 0x7102d2fd78
ptr_nvnCommandBufferPopDebugGroup 0x7102d2fd80
ptr_nvnCommandBufferPopDebugGroupId 0x7102d2fd88
ptr_nvnCommandBufferInsertDebugMarkerStatic 0x7102d2fd90
ptr_nvnCommandBufferInsertDebugMarkerDynamic 0x7102d2fd98
ptr_nvnCommandBufferInsertDebugMarker 0x7102d2fda0
ptr_nvnCommandBufferGetMemoryCallback 0x7102d2fda8
ptr_nvnCommandBufferGetMemoryCallbackData 0x7102d2fdb0
ptr_nvnCommandBufferIsRecording 0x7102d2fdb8
ptr_nvnSyncInitialize 0x7102d2fdc0
ptr_nvnSyncFinalize 0x7102d2fdc8
ptr_nvnSyncSetDebugLabel 0x7102d2fdd0
ptr_nvnQueueFenceSync 0x7102d2fdd8
ptr_nvnSyncWait 0x7102d2fde0
ptr_nvnQueueWaitSync 0x7102d2fde8
ptr_nvnSyncInitializeFromFencedGLSync 0x7102d2fdf0
ptr_nvnSyncCreateGLSync 0x7102d2fdf8
ptr_nvnEventBuilderSetDefaults 0x7102d2fe00
ptr_nvnEventBuilderSetStorage 0x7102d2fe08
ptr_nvnEventBuilderGetStorage 0x7102d2fe10
ptr_nvnEventInitialize 0x7102d2fe18
ptr_nvnEventFinalize 0x7102d2fe20
ptr_nvnEventGetValue 0x7102d2fe28
ptr_nvnEventSignal 0x7102d2fe30
ptr_nvnCommandBufferWaitEvent 0x7102d2fe38
ptr_nvnCommandBufferSignalEvent 0x7102d2fe40
ptr_nvnCommandBufferSetStencilCullCriteria 0x7102d2fe48
